product_id,product_name,product_keywords,product_aliases,product_category,source_file
ABW810,GT-BONEWAX (2 GM),GT-BONEWAX (2 GM) BONEWAX X 2 GM Aspiron Aspiron Others Others P-1 NCV Section M,gt bonewax 2 gm;gt bonewax gm;bonewax gm;gt bonewax;bonewax;aspiron;aspiron others,Others | P-1 | NCV | Section M,EndoProducts.csv
ACGC20 4241,GT-CHROMIC CATGUT 2-0 X 76-30MM 1/2 Circle Round Body,GT-CHROMIC CATGUT 2-0 X 76-30MM 1/2 Circle Round Body CHROMIC CATGUT 2-0 X 76-30MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 2 0 x 76 30mm 1 2 circle round body;chromic catgut 30mm;catgut 30mm circle;30mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;30mm circle;catgut 30mm;gt chromic;round body;chromic;catgut;circle;round;30mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC30 4237,GT-CHROMIC CATGUT 3-0 X 76-20MM 1/2 Circle Round Body,GT-CHROMIC CATGUT 3-0 X 76-20MM 1/2 Circle Round Body CHROMIC CATGUT 3-0 X 76-20MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 3 0 x 76 20mm 1 2 circle round body;chromic catgut 20mm;catgut 20mm circle;20mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;20mm circle;catgut 20mm;gt chromic;round body;chromic;catgut;circle;round;20mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGS01 2215,GT-CHROMIC CATGUT 1 X 152,GT-CHROMIC CATGUT 1 X 152 CHROMIC CATGUT 1 X 152 Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 1 x 152;gt chromic catgut;chromic catgut;gt chromic;chromic;catgut;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGS10 2214,GT-CHROMIC CATGUT 0 X 152,GT-CHROMIC CATGUT 0 X 152 CHROMIC CATGUT 0 X 152 Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 0 x 152;gt chromic catgut;chromic catgut;gt chromic;chromic;catgut;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
AMHR KIT 1,"GT-APPL20844APGN202317,ANYL203336APPM611","GT-APPL20844APGN202317,ANYL203336APPM611 GT-APPL20844APGN202317,ANYL203336APPM611 Aspiron Aspiron Mesh Kit Kit P-1 Mesh Section M",gt appl20844apgn202317 anyl203336appm611;appl20844apgn202317 anyl203336appm611;gt appl20844apgn202317;appl20844apgn202317;anyl203336appm611;aspiron;aspiron mesh kit,Kit | P-1 | Mesh | Section M,EndoProducts.csv
AMHR KIT 2,"GT-APPL20844APGN202317,ANYL203336APPM715","GT-APPL20844APGN202317,ANYL203336APPM715 GT-APPL20844APGN202317,ANYL203336APPM715 Aspiron Aspiron Mesh Kit Kit P-1 Mesh Section M",gt appl20844apgn202317 anyl203336appm715;appl20844apgn202317 anyl203336appm715;gt appl20844apgn202317;appl20844apgn202317;anyl203336appm715;aspiron;aspiron mesh kit,Kit | P-1 | Mesh | Section M,EndoProducts.csv
ANYL01 3338,GT-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,GT-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting POLYAMIDE BLACK 1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,gt polyamide black 1 x 100 45mm 1 2 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;gt polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;gt polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL01 3348,GT-POLYAMIDE Black 1 X 150-48MM 1/2 Circle Round Body LOOP,GT-POLYAMIDE Black 1 X 150-48MM 1/2 Circle Round Body LOOP POLYAMIDE BLACK 1 X 150-48MM 1/2 CIRCLE ROUND BODY LOOP Aspiron Aspiron Suture P-1 NCV Section M,gt polyamide black 1 x 150 48mm 1 2 circle round body loop;polyamide black 48mm;gt polyamide black;48mm circle round;black 48mm circle;circle round body;polyamide black;round body loop;circle round;gt polyamide;48mm circle;black 48mm;round body;body loop;polyamide;circle;black;round;48mm;body;loop;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL013338NE,ANE-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,ANE-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting POLYAMIDE BLACK 1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section N,ane polyamide black 1 x 100 45mm 1 2 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;ane polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;ane polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;ane;aspiron,Suture | P-1 | NCV | Section N,EndoProducts.csv
ANYL013338Q1,SP-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting,SP-POLYAMIDE Black 1 X 100-45MM 1/2 Circle Reverse Cutting POLYAMIDE BLACK 1 X 100-45MM 1/2 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,sp polyamide black 1 x 100 45mm 1 2 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;sp polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;sp polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL10 3337,GT-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,GT-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,gt polyamide black 0 x 70 45mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;gt polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;gt polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL103337NE,ANE-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,ANE-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section N,ane polyamide black 0 x 70 45mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;ane polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;ane polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;ane;aspiron,Suture | P-1 | NCV | Section N,EndoProducts.csv
ANYL103337Q1,SP-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting,SP-POLYAMIDE Black 0 X 70-45MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,sp polyamide black 0 x 70 45mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;sp polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;sp polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL20 3336,GT-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting,GT-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 2-0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,gt polyamide black 2 0 x 70 45mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;gt polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;gt polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL20 3336SL,GT-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting,GT-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 2-0 X 35-45MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,gt polyamide black 2 0 x 35 45mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;gt polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;gt polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL203336NE,ANE-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting,ANE-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 2-0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section N,ane polyamide black 2 0 x 70 45mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;ane polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;ane polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;ane;aspiron,Suture | P-1 | NCV | Section N,EndoProducts.csv
ANYL203336Q1,SP-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting,SP-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 2-0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,sp polyamide black 2 0 x 70 45mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;sp polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;sp polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL203336SLNE,ANE-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting,ANE-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 2-0 X 35-45MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section N,ane polyamide black 2 0 x 35 45mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;ane polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;ane polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;ane;aspiron,Suture | P-1 | NCV | Section N,EndoProducts.csv
ANYL203336SLQ1,SP-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting,SP-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 2-0 X 35-45MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,sp polyamide black 2 0 x 35 45mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 45mm;45mm circle reverse;sp polyamide black;black 45mm circle;polyamide black;reverse cutting;circle reverse;sp polyamide;45mm circle;black 45mm;polyamide;cutting;reverse;circle;black;45mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL30 3328,GT-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting,GT-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,gt polyamide black 3 0 x 70 26mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 26mm;26mm circle reverse;gt polyamide black;black 26mm circle;polyamide black;reverse cutting;circle reverse;gt polyamide;26mm circle;black 26mm;polyamide;cutting;reverse;circle;black;26mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL30 3328SL,GT-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting,GT-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 3-0 X 35-26MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,gt polyamide black 3 0 x 35 26mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 26mm;26mm circle reverse;gt polyamide black;black 26mm circle;polyamide black;reverse cutting;circle reverse;gt polyamide;26mm circle;black 26mm;polyamide;cutting;reverse;circle;black;26mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL303328NE,ANE-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting,ANE-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section N,ane polyamide black 3 0 x 70 26mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 26mm;26mm circle reverse;ane polyamide black;black 26mm circle;polyamide black;reverse cutting;circle reverse;ane polyamide;26mm circle;black 26mm;polyamide;cutting;reverse;circle;black;26mm;ane;aspiron,Suture | P-1 | NCV | Section N,EndoProducts.csv
ANYL303328Q1,SP-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting,SP-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,sp polyamide black 3 0 x 70 26mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 26mm;26mm circle reverse;sp polyamide black;black 26mm circle;polyamide black;reverse cutting;circle reverse;sp polyamide;26mm circle;black 26mm;polyamide;cutting;reverse;circle;black;26mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL303328SLNE,ANE-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting,ANE-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 3-0 X 35-26MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section N,ane polyamide black 3 0 x 35 26mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 26mm;26mm circle reverse;ane polyamide black;black 26mm circle;polyamide black;reverse cutting;circle reverse;ane polyamide;26mm circle;black 26mm;polyamide;cutting;reverse;circle;black;26mm;ane;aspiron,Suture | P-1 | NCV | Section N,EndoProducts.csv
ANYL303328SLQ1,SP-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting,SP-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting POLYAMIDE BLACK 3-0 X 35-26MM 3/8 CIRCLE REVERSE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,sp polyamide black 3 0 x 35 26mm 3 8 circle reverse cutting;circle reverse cutting;polyamide black 26mm;26mm circle reverse;sp polyamide black;black 26mm circle;polyamide black;reverse cutting;circle reverse;sp polyamide;26mm circle;black 26mm;polyamide;cutting;reverse;circle;black;26mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ANYL40 3319,GT-POLYAMIDE Black 4-0 X 90-16MM 3/8 Circle Cutting,GT-POLYAMIDE Black 4-0 X 90-16MM 3/8 Circle Cutting POLYAMIDE BLACK 4-0 X 90-16MM 3/8 CIRCLE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,gt polyamide black 4 0 x 90 16mm 3 8 circle cutting;polyamide black 16mm;16mm circle cutting;gt polyamide black;black 16mm circle;polyamide black;circle cutting;gt polyamide;16mm circle;black 16mm;polyamide;cutting;circle;black;16mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
APCL30 1326U,GT-Polyglecaprone Undyed 3-0 X 70-25MM 3/8 Circle Cutting,GT-Polyglecaprone Undyed 3-0 X 70-25MM 3/8 Circle Cutting POLYGLECAPRONE UNDYED 3-0 X 70-25MM 3/8 CIRCLE CUTTING Aspiron Aspiron Suture P-1 NCV Section M,gt polyglecaprone undyed 3 0 x 70 25mm 3 8 circle cutting;polyglecaprone undyed 25mm;gt polyglecaprone undyed;polyglecaprone undyed;25mm circle cutting;undyed 25mm circle;gt polyglecaprone;circle cutting;polyglecaprone;25mm circle;undyed 25mm;cutting;circle;undyed;25mm;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
APCL301326UNE,ANE-Polyglecaprone Undyed 3-0 X 70-25MM 3/8 Circle Cutting,ANE-Polyglecaprone Undyed 3-0 X 70-25MM 3/8 Circle Cutting POLYGLECAPRONE UNDYED 3-0 X 70-25MM 3/8 CIRCLE CUTTING Aspiron Aspiron Suture P-1 NCV Section N,ane polyglecaprone undyed 3 0 x 70 25mm 3 8 circle cutting;polyglecaprone undyed 25mm;ane polyglecaprone undyed;polyglecaprone undyed;25mm circle cutting;ane polyglecaprone;undyed 25mm circle;circle cutting;polyglecaprone;25mm circle;undyed 25mm;cutting;circle;undyed;25mm;ane;aspiron,Suture | P-1 | NCV | Section N,EndoProducts.csv
APDX01 9262,GT- Polydioxanone Violet 1 X 150-50MM 1/2 Circle Round Body LOOP,GT- Polydioxanone Violet 1 X 150-50MM 1/2 Circle Round Body LOOP POLYDIOXANONE VIOLET 1 X 150-50MM 1/2 CIRCLE ROUND BODY LOOP Aspiron Aspiron Suture P-1 NCV Section M,gt polydioxanone violet 1 x 150 50mm 1 2 circle round body loop;polydioxanone violet 50mm;gt polydioxanone violet;polydioxanone violet;violet 50mm circle;50mm circle round;circle round body;gt polydioxanone;round body loop;polydioxanone;circle round;50mm circle;violet 50mm;round body;body loop;circle;violet;round;50mm;body;loop;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
APDX01 9352,GT- Polydioxanone Violet 1 X 90-40MM 1/2 Circle Round Body,GT- Polydioxanone Violet 1 X 90-40MM 1/2 Circle Round Body POLYDIOXANONE VIOLET 1 X 90-40MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt polydioxanone violet 1 x 90 40mm 1 2 circle round body;polydioxanone violet 40mm;gt polydioxanone violet;polydioxanone violet;violet 40mm circle;40mm circle round;circle round body;gt polydioxanone;polydioxanone;circle round;40mm circle;violet 40mm;round body;circle;violet;round;40mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
APDX019352Q1,SP- Polydioxanone Violet 1 X 90-40MM 1/2 Circle Round Body,SP- Polydioxanone Violet 1 X 90-40MM 1/2 Circle Round Body POLYDIOXANONE VIOLET 1 X 90-40MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,sp polydioxanone violet 1 x 90 40mm 1 2 circle round body;polydioxanone violet 40mm;sp polydioxanone violet;polydioxanone violet;violet 40mm circle;40mm circle round;circle round body;sp polydioxanone;polydioxanone;circle round;40mm circle;violet 40mm;round body;circle;violet;round;40mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
APGA01 2347,GT-Polyglycolic Acid Violet 1 X 90-40MM 1/2 Circle Round Body,GT-Polyglycolic Acid Violet 1 X 90-40MM 1/2 Circle Round Body POLYGLYCOLIC ACID VIOLET 1 X 90-40MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt polyglycolic acid violet 1 x 90 40mm 1 2 circle round body;polyglycolic acid violet;gt polyglycolic acid;violet 40mm circle;40mm circle round;circle round body;polyglycolic acid;acid violet 40mm;gt polyglycolic;circle round;polyglycolic;40mm circle;acid violet;violet 40mm;round body;circle;violet;round;40mm;acid;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
APGA01 2347DN,GT-Polyglycolic Acid Violet 1 X 140-40MM 1/2 Circle Round Body Taper Cut Double Needle,GT-Polyglycolic Acid Violet 1 X 140-40MM 1/2 Circle Round Body Taper Cut Double Needle POLYGLYCOLIC ACID VIOLET 1 X 140-40MM 1/2 CIRCLE ROUND BODY TAPERCUT DOUBLE NEEDLE Aspiron Aspiron Suture P-1 NCV Section M,gt polyglycolic acid violet 1 x 140 40mm 1 2 circle round body taper cut double needle;polyglycolic acid violet;gt polyglycolic acid;violet 40mm circle;40mm circle round;circle round body;cut double needle;polyglycolic acid;acid violet 40mm;round body taper;taper cut double;gt polyglycolic;body taper cut;double needle;circle round;polyglycolic;40mm circle;acid violet;violet 40mm;body taper;cut double;round body;taper cut;circle;double;needle;violet;round;taper;40mm;acid;body;cut;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
