Sr No,Fiscal Year,Bid/Direct,Date,Month,Contract No.,Contract Value,Bid No.,Zonal Head,Department Name,Department Location,Department State,Seller Name,Seller Location,Seller State,Seller Contact No.,Category,Decode,Brand Name,Company Name,Meril / Others,Ordered Qty,Unit Price (Incl. of GST),Total Price,DB/COMPANY,Meril DB,Remarks,Gem Seller Id
11,2025-26,Bid/RA,04-11-2025,November,GEMC-511687785214271,3456,GEM/2025/B/6679488,Mangesh Chandurkar,Bharat Heavy Electricals Limited (BHEL),MAIN MEDICAL STORE KASTURBA HOSPITAL BHARAT HEAVY ELECTRICAL LTD HABIBGANJ Bhopal MADHYA PRADESH462022 India,Madhya Pradesh,CYGNET MEDITECH PRIVATE LIMITED,"BLK NO.50,RIDDHI SIDDHI NAGAR,AJWA ROAD, VADODARA, GUJARAT-390019, -",Gujarat,9978913966,Sutures (V3),CYG 5000RCL 4-0 DESILK,cygnet,Cygnet Meditech Private Limited,Others,96,36,3456,Company,NO,,FB15190000821228
12,2025-26,Bid/RA,04-11-2025,November,GEMC-511687735268424,2183640,GEM/2025/B/6197615,Deepak Kumar Agrawal,Central Health Service Ministry of Health and Family Welfare,OFFICE OF THE MEDICAL SUPERINTENDENT SAFDARJUNG HOSPITAL NEW DELHI110029 NEW DELHI DELHI110029 India,Delhi,JUPITER HEALTH CARE,"-Sonipat, HARYANA-131001, -",Haryana,9999660082,Sutures (V3),ADVA2936P,ADVACRYL PLUS,Adva ced Medtech solutions,Others,5870,372,2183640,Company,NO,,D088190000766537
13,2025-26,Bid/RA,04-11-2025,November,GEMC-511687735268424,2183640,GEM/2025/B/6197615,Deepak Kumar Agrawal,Central Health Service Ministry of Health and Family Welfare,OFFICE OF THE MEDICAL SUPERINTENDENT SAFDARJUNG HOSPITAL NEW DELHI110029 NEW DELHI DELHI110029 India,Delhi,JUPITER HEALTH CARE,"-Sonipat, HARYANA-131001, -",Haryana,9999660082,Sutures (V3),ADVA2437P,ADVACRYL PLUS,Adva ced Medtech solutions,Others,7552,240,1812480,Company,NO,,D088190000766537
14,2025-26,Bid/RA,04-11-2025,November,GEMC-511687735268424,2183640,GEM/2025/B/6197615,Deepak Kumar Agrawal,Central Health Service Ministry of Health and Family Welfare,OFFICE OF THE MEDICAL SUPERINTENDENT SAFDARJUNG HOSPITAL NEW DELHI110029 NEW DELHI DELHI110029 India,Delhi,JUPITER HEALTH CARE,"-Sonipat, HARYANA-131001, -",Haryana,9999660082,Sutures (V3),ADVA2534P,ADVACRYL PLUS,Adva ced Medtech solutions,Others,5897,454,2677238,Company,NO,,D088190000766537
15,2025-26,Bid/RA,13-11-2025,November,GEMC-511687781779388,485100,GEM/2025/B/6656643,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,MEDIBRIGHT SURGICALS,"53/650-1,medibright surgicals,GROUND FLOOR BARL TOWER,AYYANTHOLE, Thrissur, KERALA-680003, -",Kerala,9744002907,Ligation Clips,2204,WECK,TELEFLEX MEDICAL,Others,15000,32.34,485100,Distributor,NO,,7E9A200001228604
16,2025-26,Bid/RA,29-10-2025,October,GEMC-511687701479883,125640,GEM/2025/B/6361010,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,CHANDINI AGENCIES,"TC 16/3741, Kumarapuram,BRERA - 51,Medical College P.O.,Village/Town - Burma Road, City - Trivandrum, Thiruvananthapuram, KERALA-695011, India",Kerala,8281679073,Sutures (V3),FS1730 ( Petcryl Mono),PETCRYL,FUTURA SURGICARE PVT LTD,Others,480,261.75,125640,Distributor,NO,,C52Y210003531265
17,2025-26,Bid/RA,29-10-2025,October,GEMC-511687701479883,125640,GEM/2025/B/6361010,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,CHANDINI AGENCIES,"TC 16/3741, Kumarapuram,BRERA - 51,Medical College P.O.,Village/Town - Burma Road, City - Trivandrum, Thiruvananthapuram, KERALA-695011, India",Kerala,8281679073,Sutures (V3),DS 2520,PETCRYL,FUTURA SURGICARE PVT LTD,Others,600,55.35,33210,Distributor,NO,,C52Y210003531265
18,2025-26,Bid/RA,30-10-2025,October,GEMC-511687730776616,208320,GEM/2025/B/6409345,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,medi bright associates,"THEJUS,PUTHENANAGADI,ARANATTUKARA,Village/Town - THRISSUR, City - THRISSUR, THRISSUR, KERALA-680618, India",Kerala,9895311033,Sutures (V3),P 8936 JK,centilene,Centenial Surgical Suture Ltd,Others,1200,173.6,208320,Distributor,NO,,ZRFN210003467805
19,2025-26,Bid/RA,30-10-2025,October,GEMC-511687705909099,111996,GEM/2025/B/6409345,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,MERIL ENDO SURGERY PRIVATE LIMITED,"NO. 135-139,BILAKHIA HOUSE,MUKTANAND MARG,CHALA, VAPI, GUJARAT-396191, -",Gujarat,8140065678,Sutures (V3),FILAPROP PPL30 8522,filaprop,MERIL ENDO SURGERY PVT. LTD,Meril,1200,93.33,111996,Company,NO,,0DAA180000108070
20,2025-26,Bid/RA,30-10-2025,October,GEMC-511687762551435,336270,GEM/2025/B/6409345,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,MERIL ENDO SURGERY PRIVATE LIMITED,"NO. 135-139,BILAKHIA HOUSE,MUKTANAND MARG,CHALA, VAPI, GUJARAT-396191, -",Gujarat,8140065678,Sutures (V3),FILAPROP PPL40 8557,filaprop,MERIL ENDO SURGERY PVT. LTD,Meril,3000,112.09,336270,Company,NO,,0DAA180000108070
21,2025-26,Bid/RA,30-10-2025,October,GEMC-511687767295967,20160,GEM/2025/B/6409345,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,MERIL ENDO SURGERY PRIVATE LIMITED,"NO. 135-139,BILAKHIA HOUSE,MUKTANAND MARG,CHALA, VAPI, GUJARAT-396191, -",Gujarat,8140065678,Sutures (V3),FILAPROP PPL50 8802BX,filaprop,MERIL ENDO SURGERY PVT. LTD,Meril,120,168,20160,Company,NO,,0DAA180000108070
22,2025-26,Bid/RA,30-10-2025,October,GEMC-511687778991457,11648,GEM/2025/B/6409345,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,MERIL ENDO SURGERY PRIVATE LIMITED,"NO. 135-139,BILAKHIA HOUSE,MUKTANAND MARG,CHALA, VAPI, GUJARAT-396191, -",Gujarat,8140065678,Sutures (V3),Filaprop PPL60 8804 (3/8 Circle RB Double Needle),filaprop,MERIL ENDO SURGERY PVT. LTD,Meril,120,97.07,11648.4,Company,NO,,0DAA180000108070
23,2025-26,Bid/RA,30-10-2025,October,GEMC-511687759622960,391200,GEM/2025/B/6409345,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,medi bright associates,"THEJUS,PUTHENANAGADI,ARANATTUKARA,Village/Town - THRISSUR, City - THRISSUR, THRISSUR, KERALA-680618, India",Kerala,9895311033,Sutures (V3),P 8726 T,centilene,Centenial Surgical Suture Ltd,Others,2400,163,391200,Distributor,NO,,ZRFN210003467805
24,2025-26,Bid/RA,30-10-2025,October,GEMC-511687763793626,602400,GEM/2025/B/6409345,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,medi bright associates,"THEJUS,PUTHENANAGADI,ARANATTUKARA,Village/Town - THRISSUR, City - THRISSUR, THRISSUR, KERALA-680618, India",Kerala,9895311033,Sutures (V3),M 2078,centilene,Centenial Surgical Suture Ltd,Others,2400,251,602400,Distributor,NO,,ZRFN210003467805
25,2025-26,Bid/RA,30-10-2025,October,GEMC-511687792721941,116477,GEM/2025/B/6409345,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,MERIL ENDO SURGERY PRIVATE LIMITED,"NO. 135-139,BILAKHIA HOUSE,MUKTANAND MARG,CHALA, VAPI, GUJARAT-396191, -",Gujarat,8140065678,Sutures (V3),FILAPROP PPL40 8521,filaprop,MERIL ENDO SURGERY PVT. LTD,Meril,960,121.33,116476.8,Company,NO,,0DAA180000108070
26,2025-26,Bid/RA,29-10-2025,October,GEMC-511687796100272,20700,GEM/2025/B/6331528,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,FUTURA SURGICARE PRIVATE LIMITED,"No. 86/C2, 3rd Main, 3rd A Cross,Industrial Suburb,,2nd Stage,,Yeshwanthpur,, Bangalore, KARNATAKA-560022, -",Karnataka,9845434088,Sutures (V3),FS 5707M,SUTURA,FUTURA SURGICARE PVT LTD,Others,600,34.5,20700,Company,NO,,12EA180000337863
27,2025-26,Bid/RA,30-10-2025,October,GEMC-511687710324196,11400,GEM/2025/B/6683569,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,SURGICAL SUTURES PRIVATE LIMITED,"NO. 7,10TH A CROSS,PEENYA 2ND STAGE,THIGALARAPALLYA MAIN ROAD BALAJINAGAR, Bangalore, KARNATAKA-560058, -",Karnataka,9620669786,Sutures (V3),SEAM-5005NCX,SEAM,SURGICAL SUTURES PVT. LTD,Others,600,19,11400,Company,NO,,Q17V210004173240
28,2025-26,Bid/RA,28-10-2025,October,GEMC-511687740232034,4186,GEM/2025/B/6657077,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,SURGICAL SUTURES PRIVATE LIMITED,"NO. 7,10TH A CROSS,PEENYA 2ND STAGE,THIGALARAPALLYA MAIN ROAD BALAJINAGAR, Bangalore, KARNATAKA-560058, -",Karnataka,9620669786,Sutures (V3),SEAMSILK-5062N40,SEAM,SURGICAL SUTURES PVT. LTD,Others,216,19.38,4186.08,Company,NO,,Q17V210004173240
29,2025-26,Bid/RA,27-10-2025,October,GEMC-511687798579108,119280,GEM/2025/B/6485819,Ajeet Srivastava,North Central Railway,Office Of PCMM B BlockGM Office Complex North Central Railway Subedar Ganj Allahabad ALLAHABAD UTTAR PRADESH211015 India,Uttar Pradesh,SANMATI PACKAGING,"216/1,KHURBURA MOHOLLA, Dehradun, UTTARAKHAND-248001, -",Uttarakhand,9045000420,Skin Stapler (V2),Skin Stapler (V2),SPCOMMANDO,SPCOMMANDO,Others,710,168,119280,Distributor,NO,,C425200001183893
30,2025-26,Bid/RA,28-10-2025,October,GEMC-511687782315266,10700,GEM/2025/B/6662078,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,AQMEN MEDTECH PRIVATE LIMITED,"Site No.46/1, 9th Mile,Nanjundeshwara Layout, Tumkur Road, Chikkabiddrekallu,Nagasandra Post, Bengaluru Urban,Bengaluru, Bangalore, KARNATAKA-560073, -",Karnataka,7760741327,Hernia Mesh (V2),AQM 715,QLENE MESH,AQMEN MEDTECH PRIVATE LIMITED,Others,100,107,10700,Company,NO,,K4OS210003907957
31,2025-26,Bid/RA,31-05-2025,May,GEMC-511687735546893,14400,GEM/2025/B/6132077,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,AQMEN MEDTECH PRIVATE LIMITED,"Site No.46/1, 9th Mile,Nanjundeshwara Layout, Tumkur Road, Chikkabiddrekallu,Nagasandra Post, Bengaluru Urban,Bengaluru, Bangalore, KARNATAKA-560073, -",Karnataka,7760741327,Sutures (V3),AM 4226,AQGUT,AQMEN MEDTECH PRIVATE LIMITED,Others,600,24,14400,Company,NO,,K4OS210003907957
32,2025-26,Bid/RA,31-05-2025,May,GEMC-511687782968838,7526,GEM/2025/B/6132057,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,CYGNET MEDITECH PRIVATE LIMITED,"BLK NO.50,RIDDHI SIDDHI NAGAR,AJWA ROAD, VADODARA, GUJARAT-390019, -",Gujarat,9978913966,Sutures (V3),CYG 2347 DECTIN 1,DECTIN,CYGNET,Others,200,37.63,7526,Company,NO,,FB15190000821228
33,2025-26,Bid/RA,31-05-2025,May,GEMC-511687706979357,7526,GEM/2025/B/6132057,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,FUTURA SURGICARE PRIVATE LIMITED,"NO. 29, BALANJANEYA TEMPLE STREET OPP RAMAIAH,HOSPITAL,KGE LAYOUT,,RMV II STAGE, Bengaluru, KARNATAKA-560094, -",Karnataka,9845434088,Sutures (V3),DS/TS 2347,PETCRYL,FUTURA SURGICARE PVT LTD,Others,200,37.63,7526,Company,NO,,12EA180000337863
34,2025-26,Bid/RA,31-05-2025,May,GEMC-511687758946277,67734,GEM/2025/B/6132057,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,SUMAN DEY,"41B,MANIKTALA,SIMLA ROAD,MANIKTALA, KOLKATA, WEST BENGAL-700006, -",West Bengal,9123099841,Sutures (V3),ASPIRON APGN01 2347,MERIL,MERIL ENDO SURGERY PVT. LTD,Meril,1800,37.63,67734,Distributor,NO,,310B180000308928
35,2025-26,Bid/RA,31-05-2025,May,GEMC-511687704064748,7526,GEM/2025/B/6132057,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,AQMEN MEDTECH PRIVATE LIMITED,"Site No.46/1, 9th Mile,Nanjundeshwara Layout, Tumkur Road, Chikkabiddrekallu,Nagasandra Post, Bengaluru Urban,Bengaluru, Bangalore, KARNATAKA-560073, -",Karnataka,7760741327,Sutures (V3),AM 2347,AQSOLVE,AQMEN MEDTECH PRIVATE LIMITED,Others,200,37.63,7526,Company,NO,,K4OS210003907957
36,2025-26,Bid/RA,29-05-2025,May,GEMC-511687746717435,493985,GEM/2025/B/6090172,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,ASWINI HEALTH SPECIALITIES (INDIA) PRIVATE LIMITED,"IV/675,FERRY ROAD,KALAMASSERY, Ernakulam, KERALA-683104, -",Kerala,4842550121,Sutures (V3),PNW687A,ETHICON,JOHNSON & JOHNSON ETHICON ENDOSURGERY,Others,720,686.09,493984.8,Company,NO,,PNJK220006632851
37,2025-26,Bid/RA,27-05-2025,May,GEMC-511687765689528,6000,GEM/2025/B/6217849,Mangesh Chandurkar,Department of Health Research,Raisen By Pass Road Karond Bhopal BHOPAL MADHYA PRADESH462038 India,Madhya Pradesh,CYGNET MEDITECH PRIVATE LIMITED,"BLK NO.50,RIDDHI SIDDHI NAGAR,AJWA ROAD, VADODARA, GUJARAT-390019, -",Gujarat,9978913966,Sutures (V3),CYG 8806 PROLEX 6-0,cygnet,Cygnet Meditech Private Limited,Others,24,250,6000,Company,NO,,FB15190000821228
38,2025-26,Bid/RA,25-07-2025,July,GEMC-511687738807803,67200,GEM/2025/B/5912042,Yellesh M,Employees State Insurance Corporation,ESIC MEDICAL COLLEGE AND HOSPITAL Sanathanagar Hyderabad HYDERABAD TELANGANA500038 India,Telangana,SURGITEK,"1-8-304 TO 307/2/2 TF ROOM NO.1,SHAKUNTALA SQUARE,PATIGADDA ROAD,BEGUMPET, Hyderabad, TELANGANA-500003, -",Telangana,9989951310,Sutures (V3),VLOCN0306 - VLOC PBT,medtronic,India Medtronic Private Limited,Others,24,2800,67200,Distributor,NO,,881C190001019224
39,2025-26,Bid/RA,25-07-2025,July,GEMC-511687784109780,504742,GEM/2025/B/6309479,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,ASWINI HEALTH SPECIALITIES (INDIA) PRIVATE LIMITED,"IV/675,FERRY ROAD,KALAMASSERY, Ernakulam, KERALA-683104, -",Kerala,4842550121,Sutures (V3),PNW617A,ETHICON,JOHNSON & JOHNSON ETHICON ENDOSURGERY,Others,720,701.03,504741.6,Company,NO,,PNJK220006632851
40,2025-26,Bid/RA,25-07-2025,July,GEMC-511687703838974,69162,GEM/2025/B/5911606,Yellesh M,Employees State Insurance Corporation,ESIC MEDICAL COLLEGE AND HOSPITAL Sanathanagar Hyderabad HYDERABAD TELANGANA500038 India,Telangana,SUNEEL PHARMA & DIAGNOSTICS,"6-3-1216/142,Methodist Colony,Kundan Bagh Road,Begumpet, Hyderabad, TELANGANA-500016, -",Telangana,9866234591,Sutures (V3),BSN01503U,TRUBARB,HEALTHIUM MEDTECH LIMITED,Others,36,1921.17,69162.12,Distributor,YES,,B4F2200001195371
41,2025-26,Bid/RA,25-07-2025,July,GEMC-511687741206569,85384,GEM/2025/B/5911606,Yellesh M,Employees State Insurance Corporation,ESIC MEDICAL COLLEGE AND HOSPITAL Sanathanagar Hyderabad HYDERABAD TELANGANA500038 India,Telangana,SUNEEL PHARMA & DIAGNOSTICS,"6-3-1216/142,Methodist Colony,Kundan Bagh Road,Begumpet, Hyderabad, TELANGANA-500016, -",Telangana,9866234591,Sutures (V3),BSN04513U,TRUBARB,HEALTHIUM MEDTECH LIMITED,Others,36,2371.78,85384.08,Distributor,YES,,B4F2200001195371
42,2025-26,Bid/RA,25-07-2025,July,GEMC-511687707994991,86003,GEM/2025/B/5911606,Yellesh M,Employees State Insurance Corporation,ESIC MEDICAL COLLEGE AND HOSPITAL Sanathanagar Hyderabad HYDERABAD TELANGANA500038 India,Telangana,SUNEEL PHARMA & DIAGNOSTICS,"6-3-1216/142,Methodist Colony,Kundan Bagh Road,Begumpet, Hyderabad, TELANGANA-500016, -",Telangana,9866234591,Sutures (V3),BSN0326U,TRUBARB,HEALTHIUM MEDTECH LIMITED,Others,36,2388.96,86002.56,Distributor,YES,,B4F2200001195371
43,2025-26,Bid/RA,25-07-2025,July,GEMC-511687700094780,85364,GEM/2025/B/5911606,Yellesh M,Employees State Insurance Corporation,ESIC MEDICAL COLLEGE AND HOSPITAL Sanathanagar Hyderabad HYDERABAD TELANGANA500038 India,Telangana,SUNEEL PHARMA & DIAGNOSTICS,"6-3-1216/142,Methodist Colony,Kundan Bagh Road,Begumpet, Hyderabad, TELANGANA-500016, -",Telangana,9866234591,Sutures (V3),BSN01533U,TRUBARB,HEALTHIUM MEDTECH LIMITED,Others,36,2371.22,85363.92,Distributor,YES,,B4F2200001195371
44,2025-26,Bid/RA,25-07-2025,July,GEMC-511687774077678,164640,GEM/2025/B/6162826,Kapil Arora,Government Medical College and Hospital,Government Medical College & Hospital Sector 32 Chandigarh 160031 CHANDIGARH CHANDIGARH160031 India,Chandigarh,NUVO MEDSURG PRIVATE LIMITED,"M-59/3,Shastri Nagar,New Delhi - 110052, Jhajjar, HARYANA-124507, -",Haryana,7082210770,Sutures (V3),NUVOSILK NM5062,NUVOSILK,NUVO MEDSURG PRIVATE LIMITED,Others,9600,17.15,164640,Company,NO,,1.27918E+15
