Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
1,32,89482478,2025_RMSCL_479889_1,123,,A.R. Pharma & Surgicals,Ashish Hasija,Vivechana,Vijay,"Jaipur, Rajasthan, India",18-11-2025,ref to doc,,12,PGN01 2319,PGLA VIO 1 X 90-36MM HC TC,Suture,Suture - Synab,P-1,N/A,ac,2890000000,,,,,
2,8832,93893234,MSC2526GLRC00018,,,,,,,"Jaipur, Rajasthan, India",11-11-2025,19-06-2025,,,,,,,,N/A,,2890000000,,,,,
3,6033,93146797,2025_ALIMC_880020_1,,,,,,,"Tikamgarh, Madhya Pradesh, India",05-11-2025,14-10-2025,,,,,,,,N/A,,2059600000,,,,,
4,129,91220149,2025_UMSCL_1064059_1,,,,,,,"Lucknow, Uttar Pradesh, India",17-11-2025,13-08-2025,,,,,,,,N/A,,1894315019,,,,,
5,22,88238880,2025_RMSCL_466973_1,,,,,,,"Jaipur, Rajasthan, India",30-10-2025,ref to doc,,,,,,,,N/A,,973700000,,,,,
6,4405,92694933,MSC2526GLRC00007,,,,,,,"Jaipur, Rajasthan, India",06-10-2025,03-05-2025,,,,,,,,N/A,,973700000,,,,,
7,5045,92869955,2025_SGPGI_1077215_1,,,,,,,"Lucknow, Uttar Pradesh, India",17-10-2025,,,,,,,,,N/A,,700000000,,,,,
8,4306,92674882,MSC2526GLRC00036,,,,,,,"Jaipur, Rajasthan, India",16-10-2025,ref to doc,,,,,,,,N/A,,697000000,,,,,
9,4691,92774935,2025_DHS_24739_1,,,,,,,"North Goa, Goa, India",07-11-2025,30-09-2025,,,,,,,,N/A,,650000000,,,,,
10,5969,93086617,2025_CEPW_151286_1,,,,,,,"Patiala, Punjab, India",04-11-2025,,,,,,,,,N/A,,531162268,,,,,
11,3814,92513920,2025_MERDM_1219062_1,,,,,,,"Mumbai, Maharashtra, India",07-10-2025,19-09-2025,,,,,,,,N/A,,428900000,,,,,
12,2834,92292904,2025_MERDM_1216907_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,16-09-2025,,,,,,,,N/A,,413236150,,,,,
13,1879,92152827,2025_MERDM_1215925_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,12-09-2025,,,,,,,,N/A,,403104750,,,,,
14,2786,92292911,2025_MERDM_1216924_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,16-09-2025,,,,,,,,N/A,,402769000,,,,,
15,2800,92302008,2025_MERDM_1216857_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,10-09-2025,,,,,,,,N/A,,400000000,,,,,
16,1878,92152823,2025_MERDM_1215923_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,12-09-2025,,,,,,,,N/A,,390796000,,,,,
17,2835,92292906,2025_MERDM_1216912_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,16-09-2025,,,,,,,,N/A,,383751275,,,,,
18,1877,92152822,2025_MERDM_1215924_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,12-09-2025,,,,,,,,N/A,,383084000,,,,,
19,2184,92074933,2025_UPRNN_1060771_2,,,,,,,"Allahabad, Uttar Pradesh, India",15-09-2025,08-09-2025,,,,,,,,N/A,,381765000,,,,,
20,2573,92230115,1022/GM/P. Zone/RNN/Nivida/Trauma/2025 Dated 28.07.2025,,,,,,,"Prayagraj, Uttar Pradesh, India",15-09-2025,ref to doc,,,,,,,,N/A,,381765000,,,,,
21,10210,94255195,2025_CHAND_1240537_1,,,,,,,"Chandrapur, Maharashtra, India",25-11-2025,11-11-2025,,,,,,,,N/A,,357400000,,,,,
22,2785,92292910,2025_MERDM_1216921_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,16-09-2025,,,,,,,,N/A,,327003400,,,,,
23,2776,92292836,2025_MERDM_1216870_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,16-09-2025,,,,,,,,N/A,,300000000,,,,,
24,1623,92071556,2025_HFWD_47241_1,,,,,,,"Kamrup, Assam, India",18-11-2025,28-05-2025,,,,,,,,N/A,,290000000,,,,,
25,4307,92674883,MSC2526GLRC00037,,,,,,,"Jaipur, Rajasthan, India",15-10-2025,ref to doc,,,,,,,,N/A,,265400000,,,,,
26,2836,92292908,2025_MERDM_1216918_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,16-09-2025,,,,,,,,N/A,,263447000,,,,,
27,5262,92921497,,,,,,,,"Ahmedabad, Gujarat, India",14-10-2025,,,,,,,,,N/A,,205871730.7,,,,,
28,4821,92802214,ACE(P&C)/Contracts/E-368/Uprating/66kV/S&E:221861:,,,,,,,"Vadodara, Gujarat, India",14-10-2025,,,,,,,,,N/A,,205871730,,,,,
29,8333,93725496,2025_WASHI_1233341_1,,,,,,,"Washim, Maharashtra, India",10-11-2025,14-10-2025,,,,,,,,N/A,,200000000,,,,,
30,2146,91468006,2025-26/60/01:215164:,,,,,,,"Valsad, Gujarat, India",16-09-2025,ref to doc,,,,,,,,N/A,,178428270,,,,,
31,8341,93725560,2025_PWDM_1233219_1,,,,,,,"Nagpur, Maharashtra, India",03-11-2025,28-10-2025,,,,,,,,N/A,,176454768,,,,,
32,4517,92728914,2025_DHS_1219122_1,,,,,,,"Nagpur, Maharashtra, India",14-10-2025,26-09-2025,,,,,,,,N/A,,170000000,,,,,
33,9619,94112867,2025_MERDM_1237895_1,,,,,,,"Mumbai, Maharashtra, India",21-11-2025,10-11-2025,,,,,,,,N/A,,165805741,,,,,
34,4339,92688710,GEM/2025/B/6706152,,,,,,,"Ahmedabad, Gujarat, India",27-10-2025,,2,,,,,,,N/A,,150739314.4,,,,,
35,813,91808237,GEM/2025/B/6611650,,,,,,,"Nashik, Maharashtra, India",25-09-2025,,111408,,,,,,,N/A,,128293261.9,,,,,
36,2156,91744973,NIT.019/EEElect II/AIIMS/2025-26 / 1,,,,,,,"New Delhi, Delhi, India",09-09-2025,ref to doc,,,,,,,,N/A,,123274344,,,,,
37,2623,92256560,NIT.019/EEElect II/AIIMS/2025-26 / 1,,,,,,,"New Delhi, Delhi, India",16-09-2025,,,,,,,,,N/A,,123274344,,,,,
38,3642,92472208,NIT.019/EEElect II/AIIMS/2025-26 / 1,,,,,,,"New Delhi, Delhi, India",25-09-2025,,,,,,,,,N/A,,123274344,,,,,
39,4616,92732456,NIT.019/EEElect II/AIIMS/2025-26 / 1,,,,,,,"New Delhi, Delhi, India",25-09-2025,,,,,,,,,N/A,,123274344,,,,,
40,5628,93007404,2025_MERDM_1223659_1,,,,,,,"Chandrapur, Maharashtra, India",20-10-2025,07-10-2025,,,,,,,,N/A,,121762000,,,,,
41,6322,93208290,2025_MERDM_1225016_1,,,,,,,"Chandrapur, Maharashtra, India",31-10-2025,10-10-2025,,,,,,,,N/A,,118119449,,,,,
42,6428,93238066,2025_MERDM_1225819_1,,,,,,,"Mumbai, Maharashtra, India",17-11-2025,13-10-2025,,,,,,,,N/A,,109416413,,,,,
43,4371,92692105,2025_CSL_813293_1,,,,,,,"Ernakulam, Kerala, India",15-10-2025,03-10-2025,,,,,,,,N/A,,108112256,,,,,
44,117,91179463,2025_SPMCB_491825_1,,,,,,,"Bikaner, Rajasthan, India",07-10-2025,11-08-2025,,,,,,,,N/A,,100000000,,,,,
45,4345,92689764,2025_BHEL_813275_1,,,,,,,"Bangalore, Karnataka, India",30-09-2025,ref to doc,,,,,,,,N/A,,100000000,,,,,
46,4828,92812157,MCJ2526GLOB00080,,,,,,,"Jaipur, Rajasthan, India",28-10-2025,30-08-2025,,,,,,,,N/A,,100000000,,,,,
47,4980,92819647,2025_SMSMC_503215_1,,,,,,,"Jaipur, Rajasthan, India",06-11-2025,03-10-2025,,,,,,,,N/A,,100000000,,,,,
48,6308,93201146,2025_BHEL_814705_1,,,,,,,"Bangalore, Karnataka, India",15-10-2025,ref to doc,,,,,,,,N/A,,100000000,,,,,
49,8102,93648698,2025_BHEL_816189_1,,,,,,,"Bangalore, Karnataka, India",24-10-2025,ref to doc,,,,,,,,N/A,,100000000,,,,,
50,4623,92757224,DMC(D-H&H)/CMS/03/2025-26:226878:,,,,,,,"Surat, Gujarat, India",13-10-2025,ref to doc,,,,,,,,N/A,,96201472.66,,,,,
51,4094,92605878,GEM/2025/B/6691671,,,,,,,"Lucknow, Uttar Pradesh, India",13-11-2025,,1,,,,,,,N/A,,95000000,,,,,
52,10042,94211195,GEM/2025/B/6761067,,,,,,,"New Delhi, Delhi, India",25-11-2025,ref to doc,39302,,,,,,,N/A,,90335982,,,,,
53,1794,92120093,GEM/2025/B/6635520,,,,,,,"New Delhi, Delhi, India",20-11-2025,12-09-2025,1,,,,,,,N/A,,90000000,,,,,
54,9367,94056850,2025_DHS_1236394_1,,,,,,,"Nanded, Maharashtra, India",24-11-2025,06-11-2025,,,,,,,,N/A,,90000000,,,,,
55,9786,94146198,GEM/2025/B/6846665,,,,,,,"Lucknow, Uttar Pradesh, India",22-11-2025,,1,,,,,,,N/A,,88634160,,,,,
56,9921,94175236,EOI- Sponsorship,,,,,,,"New Delhi, Delhi, India",15-11-2025,ref to doc,,,,,,,,N/A,,86600000,,,,,
57,4311,92675694,,,,,,,,"Lucknow, Uttar Pradesh, India",24-09-2025,,,,,,,,,N/A,,85000000,,,,,
58,1098,91922329,SMC2526GLOB00145,,,,,,,"Jodhpur, Rajasthan, India",19-09-2025,ref to doc,,,,,,,,N/A,,83900000,,,,,
59,9018,93933909,2025_MERDM_1234568_1,,,,,,,"Chandrapur, Maharashtra, India",15-11-2025,31-10-2025,,,,,,,,N/A,,83541000,,,,,
60,6943,93369861,2025_AIMSM_880934_1,,,,,,,"Guntur, Andhra Pradesh, India",10-11-2025,21-10-2025,,,,,,,,N/A,,83364157,,,,,
61,7318,93454081,2025_ARMY_734938_1,,,,,,,"New Delhi, Delhi, India",03-11-2025,ref to doc,,,,,,,,N/A,,82800000,,,,,
62,8573,93840070,GEM/2025/B/6783981,,,,,,,"New Delhi, Delhi, India",12-11-2025,,10,,,,,,,N/A,,82800000,,,,,
63,42,89838670,GEM/2025/B/6356609,,,,,,,"Trivandrum, Kerala, India",20-09-2025,ref to doc,1,,,,,,,N/A,,80000000,,,,,
64,761,91801910,GEM/2025/B/6583646,,,,,,,"Lucknow, Uttar Pradesh, India",03-10-2025,,1,,,,,,,N/A,,80000000,,,,,
65,8907,93900700,GEM/2025/B/6803613,,,,,,,"Chandigarh Ut, Chandigarh, India",19-11-2025,03-11-2025,7998000,,,,,,,N/A,,79980000,,,,,
66,470,91676214,INU/2025-26/IND0046,,,,,,,"Bangalore, Karnataka, India",20-09-2025,28-08-2025,,,,,,,,N/A,,74821875,,,,,
67,4469,92718553,2025_MST_813346_1,,,,,,,"Bangalore, Karnataka, India",11-10-2025,ref to doc,,,,,,,,N/A,,74600000,,,,,
68,8900,93900225,2025_RNTMC_509123_1,,,,,,,"Udaipur, Rajasthan, India",13-11-2025,29-10-2025,,,,,,,,N/A,,70000000,,,,,
69,9350,94052155,13884,,,,,,,"Bhopal, Madhya Pradesh, India",14-11-2025,ref to doc,,,,,,,,N/A,,70000000,,,,,
70,8712,93861971,2025_ARMY_736606_1,,,,,,,"New Delhi, Delhi, India",13-11-2025,,,,,,,,,N/A,,69145440,,,,,
71,9565,94099932,GEM/2025/B/6842462,,,,,,,"Varanasi, Uttar Pradesh, India",22-11-2025,,1607050,,,,,,,N/A,,69097900,,,,,
72,2801,92302531,2025_JLNMC_499778_1,,,,,,,"Ajmer, Rajasthan, India",06-10-2025,15-09-2025,,,,,,,,N/A,,67300000,,,,,
73,2860,92310723,MCA2526GLRC00121,,,,,,,"Ajmer, Rajasthan, India",06-10-2025,ref to doc,,,,,,,,N/A,,67300000,,,,,
74,4232,92652848,2025_SMSMC_501991_1,,,,,,,"Jaipur, Rajasthan, India",16-10-2025,25-09-2025,,,,,,,,N/A,,65000000,,,,,
75,4406,92694962,MCJ2526GLRC00077,,,,,,,"Jaipur, Rajasthan, India",16-10-2025,22-07-2023,,,,,,,,N/A,,65000000,,,,,
76,7502,93501783,2025_ARMY_735010_1,,,,,,,"Pune, Maharashtra, India",13-11-2025,27-10-2025,,,,,,,,N/A,,63086919,,,,,
77,18,88081226,2025_HBC_444973_1,,,,,,,"Panchkula, Haryana, India",15-09-2025,ref to doc,,,,,,,,N/A,,60000000,,,,,
78,5607,93003064,2025_MCGM_1222742_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,06-10-2025,,,,,,,,N/A,,59161190,,,,,
79,7138,93384061,2025_NMMC_1227946_1,,,,,,,"Thane, Maharashtra, India",07-11-2025,15-10-2025,,,,,,,,N/A,,57774138,,,,,
80,3094,92384990,GEM/2025/B/6669358,,,,,,,"New Delhi, Delhi, India",14-10-2025,15-09-2025,2,,,,,,,N/A,,50000000,,,,,
81,4695,92776021,2025_SMSMC_502834_1,,,,,,,"Jaipur, Rajasthan, India",16-10-2025,,,,,,,,,N/A,,50000000,,,,,
82,4994,92859424,MCJ2526GLSS00079,,,,,,,"Jaipur, Rajasthan, India",16-10-2025,ref to doc,,,,,,,,N/A,,50000000,,,,,
83,5897,93081819,SMS2526GLSS00362,,,,,,,"Jaipur, Rajasthan, India",03-10-2025,ref to doc,,,,,,,,N/A,,50000000,,,,,
84,8216,93671606,MCB2526GLRC00179,,,,,,,"Bikaner, Rajasthan, India",17-11-2025,ref to doc,,,,,,,,N/A,,50000000,,,,,
85,9199,93999003,GEM/2025/B/6829051,,,,,,,"Aurangabad, Maharashtra, India",13-11-2025,,2628200,,,,,,,N/A,,50000000,,,,,
86,8266,93681892,2025_MERDM_1232269_1,,,,,,,"Sangli, Maharashtra, India",30-10-2025,,,,,,,,,N/A,,49998041,,,,,
87,4471,92702098,12242-South West Zone Tender notice No-9/2025-26,,,,,,,"Ahmedabad, Gujarat, India",08-10-2025,ref to doc,,,,,,,,N/A,,49998000,,,,,
88,4512,92728008,DME/2025-26/IND1729,,,,,,,"Mysore, Karnataka, India",14-10-2025,26-09-2025,,,,,,,,N/A,,49900000,,,,,
89,2603,92259541,GEM/2025/B/6629084,,,,,,,"Guwahati, Assam, India",11-10-2025,ref to doc,860056,,,,,,,N/A,,49452998.74,,,,,
90,3998,92562548,2025_WPCOS_812892_1,,,,,,,"Pathanamthitta, Kerala, India",08-10-2025,23-09-2025,,,,,,,,N/A,,49324490,,,,,
91,3999,92567824,2025_WAPCO_798557_1,,,,,,,"Pathanamthitta, Kerala, India",08-10-2025,24-09-2025,,,,,,,,N/A,,49324490,,,,,
92,8817,93885177,GEM/2025/B/6764126,,,,,,,"New Delhi, Delhi, India",14-11-2025,,6867,,,,,,,N/A,,48516000,,,,,
93,8002,93606186,SE/TUC/HR/T-04/2026,,,,,,,"Thane, Maharashtra, India",27-10-2025,ref to doc,,,,,,,,N/A,,48394000,,,,,
94,7520,93504410,2025_MCC_809552_1,,,,,,,"Kannur, Kerala, India",22-11-2025,24-10-2025,,,,,,,,N/A,,48300000,,,,,
95,2178,91997326,2025_EICCL_117537_1,,,,,,,"Angul, Orissa, India",15-09-2025,ref to doc,,,,,,,,N/A,,48273438,,,,,
96,8591,93849670,GEM/2025/B/6815915,,,,,,,"Visakhapatnam, Andhra Pradesh, India",13-11-2025,,1,,,,,,,N/A,,48135520,,,,,
97,1084,91912644,2025_HRY_468486_1,,,,,,,"Rohtak, Haryana, India",13-10-2025,09-09-2025,,,,,,,,N/A,,45000000,,,,,
98,5600,93003729,GEM/2025/B/6732666,,,,,,,"Solapur, Maharashtra, India",24-10-2025,,3,,,,,,,N/A,,43400546.26,,,,,
99,5784,93066465,GEM/2025/B/6744662,,,,,,,"Solapur, Maharashtra, India",24-10-2025,ref to doc,3,,,,,,,N/A,,43400546.26,,,,,
100,8853,93857494,"638433-NIT No.21/16/SE-M/LBNZ/GHMC/J2&J3/2025-26, Date:22.10.2025",,,,,,,"Ranga Reddy, Telangana, India",07-11-2025,ref to doc,,,,,,,,N/A,,43044861,,,,,
101,2148,91637413,2025_DJB_277038_1,,,,,,,"New Delhi, Delhi, India",10-10-2025,26-08-2025,,,,,,,,N/A,,42228730,,,,,
102,2586,92256631,2025_JALNA_1216498_1,,,,,,,"Jalna, Maharashtra, India",23-09-2025,ref to doc,,,,,,,,N/A,,40000000,,,,,
103,4305,92674880,MCU2526GLRC00178,,,,,,,"Udaipur, Rajasthan, India",15-10-2025,ref to doc,,,,,,,,N/A,,40000000,,,,,
104,4411,92698052,2025_RNTMC_502679_1,,,,,,,"Udaipur, Rajasthan, India",15-10-2025,20-09-2025,,,,,,,,N/A,,40000000,,,,,
105,5416,92957659,GEM/2025/B/6733519,,,,,,,"Gurugram, Haryana, India",24-10-2025,01-10-2025,801,,,,,,,N/A,,40000000,,,,,
106,8080,93645807,2025_RNTMC_508116_1,,,,,,,"Udaipur, Rajasthan, India",17-11-2025,24-10-2025,,,,,,,,N/A,,40000000,,,,,
107,4214,92647499,2025_HBC_473559_1,,,,,,,"Panchkula, Haryana, India",13-10-2025,,,,,,,,,N/A,,39000000,,,,,
108,8609,93854004,GEM/2025/B/6809571,,,,,,,"Pondicherry, Puducherry, India",21-11-2025,ref to doc,1,,,,,,,N/A,,39000000,,,,,
109,610,91739003,MCJ2526GLOB00063,,,,,,,"Jaipur, Rajasthan, India",27-09-2025,ref to doc,,,,,,,,N/A,,37000000,,,,,
110,7719,93554638,2025_MCC_810361_1,,,,,,,"Kannur, Kerala, India",19-11-2025,24-10-2025,,,,,,,,N/A,,36800000,,,,,
111,9275,94034786,,,,,,,,"Mandya, Karnataka, India",15-11-2025,ref to doc,,,,,,,,N/A,,36700000,,,,,
112,8428,93759607,2025_ARMY_736261_1,,,,,,,"New Delhi, Delhi, India",10-11-2025,ref to doc,,,,,,,,N/A,,35482489,,,,,
113,5633,93009216,2025_SMSMC_504536_1,,,,,,,"Jaipur, Rajasthan, India",13-10-2025,ref to doc,,,,,,,,N/A,,35000000,,,,,
114,5209,92898523,GEM/2025/B/6612602,,,,,,,"New Delhi, Delhi, India",16-10-2025,ref to doc,7,,,,,,,N/A,,34432951,,,,,
115,5165,92899632,GEM/2025/B/6719312,,,,,,,"Ranchi, Jharkhand, India",20-10-2025,08-10-2025,2,,,,,,,N/A,,34353074.32,,,,,
116,630,91746982,SE/HNGC/HR/ET-11/25-26 OS TECH,,,,,,,"Nanded, Maharashtra, India",05-09-2025,ref to doc,,,,,,,,N/A,,33348000,,,,,
117,518,91697296,GEM/2025/B/6585783,,,,,,,"Gandhinagar, Gujarat, India",06-09-2025,,2204,,,,,,,N/A,,32700000,,,,,
118,1404,92000015,GEM/2025/B/6615978,,,,,,,"Gandhinagar, Gujarat, India",16-09-2025,,2204,,,,,,,N/A,,32700000,,,,,
119,221,91444392,2025_GMCK_494393_1,,,,,,,"Kota, Rajasthan, India",15-09-2025,25-08-2025,,,,,,,,N/A,,32400000,,,,,
120,245,91519185,CMK2526GLOB00109,,,,,,,"Kota, Rajasthan, India",15-09-2025,ref to doc,,,,,,,,N/A,,32400000,,,,,
121,227,91448810,GEM/2025/B/6561037,,,,,,,"Pondicherry, Puducherry, India",03-10-2025,ref to doc,2,,,,,,,N/A,,32000000,,,,,
122,7013,93379513,GEM/2025/B/6776004,,,,,,,"Lucknow, Uttar Pradesh, India",31-10-2025,ref to doc,3,,,,,,,N/A,,31679047.86,,,,,
123,1789,92119765,,,,,,,,"Nadiad, Gujarat, India",03-10-2025,,,,,,,,,N/A,,31405405.7,,,,,
124,1754,92111097,NTC/CDN/SEP-25/179:221045:,,,,,,,"Nadiad, Gujarat, India",03-10-2025,ref to doc,,,,,,,,N/A,,31405405,,,,,
125,1668,92079441,2025_HCHSF_844_1,,,,,,,"Gangtok, Sikkim, India",25-09-2025,10-09-2025,,,,,,,,N/A,,30000000,,,,,
126,4366,92683289,MCJ2526GLSS00075,,,,,,,"Jaipur, Rajasthan, India",26-09-2025,ref to doc,,,,,,,,N/A,,30000000,,,,,
127,5870,93078755,MCB2526GLRC00167,,,,,,,"Bikaner, Rajasthan, India",13-10-2025,ref to doc,,,,,,,,N/A,,30000000,,,,,
128,8111,93653638,2025_SMSMC_507069_1,,,,,,,"Jaipur, Rajasthan, India",03-11-2025,ref to doc,,,,,,,,N/A,,30000000,,,,,
129,8246,93689771,2025_MEDIC_508598_1,,,,,,,"Nagaur, Rajasthan, India",10-11-2025,ref to doc,,,,,,,,N/A,,30000000,,,,,
130,8589,93857571,,,,,,,,"Haveri, Karnataka, India",01-11-2025,,,,,,,,,N/A,,30000000,,,,,
131,9542,94095165,MHS2526GLRC04648,,,,,,,"Salumber, Rajasthan, India",20-11-2025,ref to doc,,,,,,,,N/A,,30000000,,,,,
132,4240,92655023,2025_HCHSF_847_1,,,,,,,"Gangtok, Sikkim, India",16-10-2025,07-10-2025,,,,,,,,N/A,,29000000,,,,,
133,10244,94266170,12305,,,,,,,"Ahmedabad, Gujarat, India",13-11-2025,ref to doc,,,,,,,,N/A,,28980000,,,,,
134,8587,93854421,GEM/2025/B/6620595,,,,,,,"Bangalore, Karnataka, India",06-11-2025,,14646,,,,,,,N/A,,28972144.32,,,,,
135,1928,91431274,GEM/2025/B/6541243,,,,,,,"Noida, Uttar Pradesh, India",17-11-2025,ref to doc,18,,,,,,,N/A,,28800000,,,,,
136,780,91806865,GEM/2025/B/6609042,,,,,,,"Imphal, Manipur, India",16-09-2025,,1900,,,,,,,N/A,,28000000,,,,,
137,4365,92683244,MCJ2526GLSS00073,,,,,,,"Jaipur, Rajasthan, India",26-09-2025,ref to doc,,,,,,,,N/A,,28000000,,,,,
138,554,91724561,MHS2526GLRC03520,,,,,,,"Alwar, Rajasthan, India",15-09-2025,ref to doc,,,,,,,,N/A,,27900000,,,,,
139,1759,92112178,2025_MEDIC_497969_1,,,,,,,"Alwar, Rajasthan, India",15-09-2025,ref to doc,,,,,,,,N/A,,27900000,,,,,
140,1085,91912661,2025_HRY_468479_1,,,,,,,"Rohtak, Haryana, India",13-10-2025,09-09-2025,,,,,,,,N/A,,27720000,,,,,
141,6511,93246959,2025_ARMY_734047_1,,,,,,,"Kolkata, West Bengal, India",28-10-2025,ref to doc,,,,,,,,N/A,,27350400,,,,,
142,3180,89646393,GEM/2025/B/6310814,,,,,,,"Lucknow, Uttar Pradesh, India",27-10-2025,ref to doc,58581,,,,,,,N/A,,27348514,,,,,
143,5559,92995160,2025_MERDM_1222194_1,,,,,,,"Chandrapur, Maharashtra, India",09-10-2025,01-10-2025,,,,,,,,N/A,,27341000,,,,,
144,5479,92973275,2025_MEDIC_503604_1,,,,,,,"Sirohi, Rajasthan, India",16-10-2025,09-10-2025,,,,,,,,N/A,,27300000,,,,,
145,8050,93624678,GEM/2025/B/6796836,,,,,,,"Ahmedabad, Gujarat, India",07-11-2025,27-10-2025,1,,,,,,,N/A,,26905923,,,,,
146,409,91642505,2025_HBC_466638_1,,,,,,,"Panchkula, Haryana, India",19-09-2025,,,,,,,,,N/A,,26671232,,,,,
147,179,91351149,2025_TNMAG_591418_1,,,,,,,"Salem, Tamil Nadu, India",10-09-2025,ref to doc,,,,,,,,N/A,,26600000,,,,,
148,9198,93998953,GEM/2025/B/6803484,,,,,,,"Akola, Maharashtra, India",12-11-2025,ref to doc,663,,,,,,,N/A,,26000000,,,,,
149,1467,92015301,GEM/2025/B/6562602,,,,,,,"Kamrup, Assam, India",18-09-2025,18-08-2025,4044800,,,,,,,N/A,,25874350,,,,,
150,8654,93857009,GEM/2025/B/6650023,,,,,,,"Chandigarh, Punjab, India",17-11-2025,ref to doc,12760000,,,,,,,N/A,,25520000,,,,,
151,733,91774360,2025_RUHS_496779_1,,,,,,,"Jaipur, Rajasthan, India",26-09-2025,29-08-2025,,,,,,,,N/A,,25000000,,,,,
152,2556,92249529,GEM/2025/B/6656391,,,,,,,"New Delhi, Delhi, India",15-11-2025,11-09-2025,1,,,,,,,N/A,,25000000,,,,,
153,3719,92514701,GEM/2025/B/6665107,,,,,,,"Surat, Gujarat, India",07-10-2025,23-09-2025,1,,,,,,,N/A,,25000000,,,,,
154,4648,92764844,,,,,,,,"New Delhi, Delhi, India",30-09-2025,ref to doc,,,,,,,,N/A,,25000000,,,,,
155,5067,92872634,2025_SMSMC_503413_1,,,,,,,"Jaipur, Rajasthan, India",16-10-2025,07-10-2025,,,,,,,,N/A,,25000000,,,,,
156,5869,93078660,SMS2526GLRC00363,,,,,,,"Jaipur, Rajasthan, India",16-10-2025,ref to doc,,,,,,,,N/A,,25000000,,,,,
157,8198,93656612,2025_DME_811393_1,,,,,,,"Ernakulam, Kerala, India",05-11-2025,ref to doc,,,,,,,,N/A,,25000000,,,,,
158,10771,94419610,GEM/2025/B/6864172,,,,,,,"Surat, Gujarat, India",25-11-2025,ref to doc,1,,,,,,,N/A,,25000000,,,,,
159,9039,93935091,GEM/2025/B/6824714,,,,,,,"Varanasi, Uttar Pradesh, India",17-11-2025,,14000,,,,,,,N/A,,24775000,,,,,
160,10222,94256279,,,,,,,,"Latur, Maharashtra, India",20-11-2025,,,,,,,,,N/A,,24733000,,,,,
161,10788,94421620,,,,,,,,"Latur, Maharashtra, India",20-11-2025,,,,,,,,,N/A,,24733000,,,,,
162,4949,92850324,GEM/2025/B/6719927,,,,,,,"Nagpur, Maharashtra, India",13-10-2025,,147000,,,,,,,N/A,,24075000,,,,,
163,4953,92850338,GEM/2025/B/6719961,,,,,,,"Nagpur, Maharashtra, India",06-10-2025,,1000,,,,,,,N/A,,24075000,,,,,
164,5005,92864444,GEM/2025/B/6719201,,,,,,,"Nagpur, Maharashtra, India",20-10-2025,,622180,,,,,,,N/A,,24075000,,,,,
165,2348,92193035,2025_SNMCJ_499313_1,,,,,,,"Jodhpur, Rajasthan, India",17-09-2025,10-09-2025,,,,,,,,N/A,,24000000,,,,,
166,10805,94427141,2025_TNLDA_622034_1,,,,,,,"Chennai, Tamil Nadu, India",20-11-2025,,,,,,,,,N/A,,24000000,,,,,
167,10767,94417038,,,,,,,,"Ballari, Karnataka, India",24-11-2025,,,,,,,,,N/A,,23995000,,,,,
168,5337,92932316,2025_UMSCL_1077792_1,,,,,,,"Lucknow, Uttar Pradesh, India",16-10-2025,30-09-2025,,,,,,,,N/A,,23303600,,,,,
169,668,91760711,2025_MST_810124_1,,,,,,,"Pune, Maharashtra, India",23-09-2025,02-09-2025,,,,,,,,N/A,,22597000,,,,,
170,2303,92184427,,,,,,,,"Kolkata, West Bengal, India",15-09-2025,,,,,,,,,N/A,,22597000,,,,,
171,87,90985754,2025_RUHS_491593_12,,,,,,,"Jaipur, Rajasthan, India",11-09-2025,05-08-2025,,,,,,,,N/A,,22500000,,,,,
172,1753,92110577,2025_TCMPF_600319_1,,,,,,,"Dindigul, Tamil Nadu, India",17-09-2025,11-09-2025,,,,,,,,N/A,,22500000,,,,,
173,5194,92907128,2025_CEBMT_118675_4,,,,,,,"Sonepur, Orissa, India",22-10-2025,ref to doc,,,,,,,,N/A,,22268908,,,,,
174,7249,93430714,18-Sr-DEN-I-LKO-2025-26,,,,,,,"Lucknow, Uttar Pradesh, India",10-11-2025,ref to doc,,,,,,,,N/A,,21922152.96,,,,,
175,5190,92907045,2025_CEBMT_118675_1,,,,,,,"Sonepur, Orissa, India",22-10-2025,ref to doc,,,,,,,,N/A,,21848740,,,,,
176,667,91760708,2025_MST_809900_1,,,,,,,"Pune, Maharashtra, India",23-09-2025,02-09-2025,,,,,,,,N/A,,21781266,,,,,
