 Sr.No , SKU Code , Short Specification , Detailed Specification , UOM , Units , LOB , Portfolio , Brand , Sub Brand , Speciality , Section , GST % 
28,ANYL203336Q1,SP-POLYAMIDE Black 2-0 X 70-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 70-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
29,ANYL203336SLNE,ANE-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 35-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
30,ANYL203336SLQ1,SP-POLYAMIDE Black 2-0 X 35-45MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  2-0 X 35-45MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
31,ANYL30 3328,GT-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
32,ANYL30 3328SL,GT-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 35-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
33,ANYL303328NE,ANE-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
34,ANYL303328Q1,SP-POLYAMIDE Black 3-0 X 70-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
35,ANYL303328SLNE,ANE-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 35-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
36,ANYL303328SLQ1,SP-POLYAMIDE Black 3-0 X 35-26MM 3/8 Circle Reverse Cutting,POLYAMIDE BLACK  3-0 X 35-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
37,ANYL40 3319,GT-POLYAMIDE Black 4-0 X 90-16MM 3/8 Circle Cutting,POLYAMIDE BLACK  4-0 X 90-16MM 3/8 CIRCLE CUTTING ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
38,APCL30 1326U,GT-Polyglecaprone  Undyed 3-0 X 70-25MM 3/8 Circle Cutting,POLYGLECAPRONE  UNDYED 3-0 X 70-25MM 3/8 CIRCLE CUTTING ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
39,APCL301326UNE,ANE-Polyglecaprone  Undyed 3-0 X 70-25MM 3/8 Circle Cutting,POLYGLECAPRONE  UNDYED 3-0 X 70-25MM 3/8 CIRCLE CUTTING ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
40,APDX01 9262,GT- Polydioxanone  Violet 1 X 150-50MM 1/2 Circle Round Body LOOP,POLYDIOXANONE VIOLET  1 X 150-50MM 1/2 CIRCLE ROUND BODY  LOOP,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
41,APDX01 9352,GT- Polydioxanone  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYDIOXANONE VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
42,APDX019352Q1,SP- Polydioxanone  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYDIOXANONE VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
43,APGA01 2347,GT-Polyglycolic Acid   Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
44,APGA01 2347DN,GT-Polyglycolic Acid   Violet 1 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  1 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
45,APGA01 2347DNL,GT-Polyglycolic Acid   Violet 1 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  1 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
46,APGA01 2421,GT-Polyglycolic Acid   Violet 1 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
47,APGA01 2826,GT-Polyglycolic Acid   Violet 1 X 35-23MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
48,APGA10 2346,GT-Polyglycolic Acid   Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
49,APGA10 2346DN,GT-Polyglycolic Acid   Violet 0 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  0 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
50,APGA10 2346DNL,GT-Polyglycolic Acid   Violet 0 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLYCOLIC ACID VIOLET  0 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
51,APGA10 2534,GT-Polyglycolic Acid   Violet 0 X 90-36MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
52,APGA10 2825,GT-Polyglycolic Acid   Violet 0 X 45-23MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  0 X 45-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
53,APGA20 2317,GT-Polyglycolic Acid   Violet 2-0 X 90-30MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  2-0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
54,APGA20 2382,GT-Polyglycolic Acid   Violet 2-0 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLYCOLIC ACID VIOLET  2-0 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
55,APGA30 2437,GT-Polyglycolic Acid   Violet 3-0 X 70-20MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  3-0 X 70-20MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
56,APGA50 2403,GT-Polyglycolic Acid   Violet 5-0 X 45-16MM 1/2 Circle Round Body,POLYGLYCOLIC ACID VIOLET  5-0 X 45-16MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
57,APGF20 2761,GT-Polyglactin 910  FAST Undyed 2-0 X 100-36MM 1/2 Circle Taper Cut,POLYGLACTIN 910 FAST UNDYED 2-0 X 100-36MM 1/2 CIRCLE TAPERCUT ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
58,APGF20 2762,GT-Polyglactin 910  FAST Undyed 2-0 X 90-36MM 1/2 Circle Taper Cut,POLYGLACTIN 910 FAST UNDYED 2-0 X 90-36MM 1/2 CIRCLE TAPERCUT ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
59,APGF20 2777DN,GT-Polyglactin 910  FAST Undyed 2-0X140-36MM 1/2 Circle Reverse Cutting Round Body Double  Needle ,POLYGLACTIN 910 FAST UNDYED 2-0X140-36MM 1/2 CIRCLE REVERSE CUTTING  RB DOUBLE NEEDLE  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
60,APGF202761NE,ANE-Polyglactin 910  FAST Undyed 2-0 X 100-36MM 1/2 Circle Taper Cut,POLYGLACTIN 910 FAST UNDYED 2-0 X 100-36MM 1/2 CIRCLE TAPERCUT ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
61,APGF202762NE,ANE-Polyglactin 910  FAST Undyed 2-0 X 90-36MM 1/2 Circle Taper Cut,POLYGLACTIN 910 FAST UNDYED 2-0 X 90-36MM 1/2 CIRCLE TAPERCUT ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
62,APGF202777DNNE,ANE-Polyglactin 910  FAST Undyed 2-0X140-36MM 1/2 Circle Reverse Cutting Round Body Double Needle,POLYGLACTIN 910 FAST UNDYED 2-0X140-36MM HCRCRBDN,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
63,APGF30 2732,GT-Polyglactin 910  FAST Undyed 3-0 X 70-26MM 3/8 Circle Reverse Cutting,POLYGLACTIN 910 FAST UNDYED 3-0 X 70-26MM 3/8 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
64,APGN01 2347,GT-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
65,APGN01 2347DN,GT-Polyglactin 910  Violet 1 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLACTIN 910 VIOLET  1 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
66,APGN01 2347DNL,GT-Polyglactin 910  Violet 1 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLACTIN 910 VIOLET  1 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
67,APGN01 2347DS,GT-Polyglactin 910  Violet 1 X 110-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 110-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
68,APGN01 2350,GT-Polyglactin 910  Violet 1 X 120-36MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 120-36MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
69,APGN01 2421,GT-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
70,APGN01 2826,GT-Polyglactin 910  Violet 1 X 35-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
71,APGN012347DNLRB,GT-Polyglactin 910  Violet 1 X 180-40MM 1/2 Circle Round Body Double  Needle ,GT-POLYGLACTIN 910  VIOLET  1 X 180-40MM 1/2 CIRCLE ROUND BODY  DOUBLE NEEDLE ,DZ,12, Suture , P-1 ,Aspiron,Mitsu,NCV,Section A,5
72,APGN012347DSNE,ANE-Polyglactin 910  Violet 1 X 110-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 110-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
73,APGN012347NE,ANE-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
74,APGN012347Q1,SP-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
75,APGN012421NE,ANE-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
76,APGN012421Q1,SP-Polyglactin 910  Violet 1 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
77,APGN012826NE,ANE-Polyglactin 910  Violet 1 X 35-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
78,APGN012826Q1,SP-Polyglactin 910  Violet 1 X 35-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  1 X 35-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
79,APGN02 2478,GT-Polyglactin 910  Violet 2 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  2 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
80,APGN022478NE,ANE-Polyglactin 910  Violet 2 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  2 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
81,APGN022478Q1,SP-Polyglactin 910  Violet 2 X 90-40MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  2 X 90-40MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
82,APGN10 2338,GT-Polyglactin 910  Violet 0 X 90-30MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
83,APGN10 2346,GT-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
84,APGN10 2346DN,GT-Polyglactin 910  Violet 0 X 140-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLACTIN 910 VIOLET  0 X 140-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
85,APGN10 2346DNL,GT-Polyglactin 910  Violet 0 X 180-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,POLYGLACTIN 910 VIOLET  0 X 180-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
86,APGN10 2518,GT-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Taper Cut,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE TAPERCUT ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
87,APGN10 2534,GT-Polyglactin 910  Violet 0 X 90-36MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
88,APGN10 2825,GT-Polyglactin 910  Violet 0 X 45-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 45-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
89,APGN102338NE,ANE-Polyglactin 910  Violet 0 X 90-30MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
90,APGN102338Q1,SP-Polyglactin 910  Violet 0 X 90-30MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
91,APGN102346DNXL,GT-Polyglactin 910  Violet 0 X 200-40MM 1/2 Circle Round Body Taper Cut Double  Needle ,GT-POLYGLACTIN 910  VIOLET  0 X 200-40MM 1/2 CIRCLE ROUND BODY  TAPERCUT DOUBLE NEEDLE ,DZ,12, Suture , P-1 ,Aspiron,Mitsu,NCV,Section A,5
92,APGN102346NE,ANE-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
93,APGN102346Q1,SP-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
94,APGN102518Q1,SP-Polyglactin 910  Violet 0 X 90-40MM 1/2 Circle Taper Cut,POLYGLACTIN 910 VIOLET  0 X 90-40MM 1/2 CIRCLE TAPERCUT ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
95,APGN102534NE,ANE-Polyglactin 910  Violet 0 X 90-36MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section N,5
96,APGN102534Q1,SP-Polyglactin 910  Violet 0 X 90-36MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 90-36MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
97,APGN102825Q1,SP-Polyglactin 910  Violet 0 X 45-23MM 1/2 Circle Reverse Cutting,POLYGLACTIN 910 VIOLET  0 X 45-23MM 1/2 CIRCLE REVERSE CUTTING  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
98,APGN20 2317,GT-Polyglactin 910  Violet 2-0 X 90-30MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  2-0 X 90-30MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
99,APGN20 2345,GT-Polyglactin 910  Violet 2-0 X 90-40MM 1/2 Circle Round Body,POLYGLACTIN 910 VIOLET  2-0 X 90-40MM 1/2 CIRCLE ROUND BODY  ,DZ,12, Suture , P-1 ,Aspiron,Aspiron,NCV,Section M,5
